upload,uploads,uploading,uploaded
universalize,universalizes,universalizing,universalized
well,wells,welling,welled
scunge,scunges,scunging,scunged
drone,drones,droning,droned
welt,welts,welting,welted
mottle,mottles,mottling,mottled
barr_e,barr_ing,barr_ed,barr_ed
wee-wee,wee-wees,wee-weeing,wee-weed,wee-weed
restore,restores,restoring,restored
discord,discords,discording,discorded
dose,doses,dosing,dosed
doss,dosses,dossing,dossed
snicker,snickers,snickering,snickered
outvote,outvotes,outvoting,outvoted
mitre,mitres,mitring,mitred
ensanguine,ensanguines,ensanguining,ensanguined
warrant,warrants,warranting,warranted
kick,kicks,kicking,kicked
canter,canters,cantering,cantered
kick-start,kick-starts,kick-starting,kick-started,kick-started
fate,fates,fating,fated
castoff,castoffs,castoffing,castoffed
interlap,interlaps,interlapping,interlapped
burden,burdens,burdening,burdened
interlay,interlays,interlaying,interlaid
candy,candies,candying,candied
tipple,tipples,tippling,tippled
lose,loses,losing,lost
divest,divests,divesting,divested
recrystallize,recrystallizes,recrystallizing,recrystallized
page,pages,paging,paged
shed,sheds,shedding,shed
glare,glares,glaring,glared
startle,startles,startling,startled
twitter,twitters,twittering,twittered
scuffle,scuffles,scuffling,scuffled
motive,motives,motiving,motived
shew,shews,shewing,shewed,shewn
profiteer,profiteers,profiteering,profiteered
fumigate,fumigates,fumigating,fumigated
mizzle,mizzles,mizzling,mizzled
home,homes,homing,homed
peter,peters,petering,petered
drizzle,drizzles,drizzling,drizzled
pinpoint,pinpoints,pinpointing,pinpointed
overlay,overlays,overlaying,overlaid
upswing,upswings,upswinging,upswung
overlap,overlaps,overlapping,overlapped
rubberneck,rubbernecks,rubber-necking,rubbernecked,rubber-necked
outgo,outgoes,outgoing,outwent,outgone
percolate,percolates,percolating,percolated
radiotelephone,radiotelephones,radiotelephoning,radiotelephoned
miscreate,miscreates,miscreating,miscreated
prerecord,prerecords,prerecording,prerecorded
disentangle,disentangles,disentangling,disentangled
superabound,superabounds,superabounding,superabounded
standardize,standardizes,standardizing,standardized
offset,offsets,offsetting,offset
refuge,refuges,refuging,refuged
eradiate,eradiates,eradiating,eradiated
spot-weld,spot-welds,spot-welding,spot-welded,spot-welded
twirl,twirls,twirling,twirled
formicate,formicates,formicating,formicated
epitomize,epitomizes,epitomizing,epitomized
fuddle,fuddles,fuddling,fuddled
tongue,tongues,tonguing,tongued
dub,dubs,dubbing,dubbed
attaint,attaints,attainting,attainted
articulate,articulates,articulating,articulated
black-lead,black-leads,black-leading,black-leaded,black-leaded
congregate,congregates,congregating,congregated
holpen,holpens,holpening,holpened
miscount,miscounts,miscounting,miscounted
veil,veils,veiling,veiled
jink,jinks,jinking,jinked
jinx,jinxes,jinxing,jinxed
backhand,backhands,backhanding,backhanded
elate,elates,elating,elated
revalue,revalues,revaluing,revalued
seise,seises,seising,seised
evacuate,evacuates,evacuating,evacuated
admonish,admonishes,admonishing,admonished
gain,gains,gaining,gained
wince,winces,wincing,winced
overflow,overflows,overflowing,overflowed
ear,ears,earing,eared
eat,eats,eating,ate,eaten
denominate,denominates,denominating,denominated
outgun,outguns,outgunning,outgunned
unlock,unlocks,unlocking,unlocked
pinprick,pinpricks,pinpricking,pinpricked
rootle,rootles,rootling,rootled
limit,limits,limiting,limited
piece,pieces,piecing,pieced
display,displays,displaying,displayed
signet,signets,signeting,signeted
sponsor,sponsors,sponsoring,sponsored
steeplechase,steeplechases,steeplechasing,steeplechased
devise,devises,devising,devised
hinny,hinnies,hinnying,hinnied
horsewhip,horsewhips,horsewhipping,horsewhipped
Teletype,Teletypes,Teletyping,Teletyped,Teletyped
baksheesh,baksheeshes,baksheeshing,baksheeshed
folio,folios,folioing,folioed
contest,contests,contesting,contested
humidify,humidifies,humidifying,humidified
fodder,fodders,foddering,foddered
star,stars,starring,starred
lubricate,lubricates,lubricating,lubricated
stay,stays,staying,stayed
foin,foins,foining,foined
dragoon,dragoons,dragooning,dragooned
foil,foils,foiling,foiled
stab,stabs,stabbing,stabbed
jackknife,jack-knifes,jack-knifing,jackknifed,jack-knifed
photosensitize,photosensitizes,photosensitizing,photosensitized
appoint,appoints,appointing,appointed
shunt,shunts,shunting,shunted
fertilize,fertilizes,fertilizing,fertilized
unlive,unlives,unliving,unlived
inset,insets,insetting,inset
overleap,overleaps,overleaping,overleapt
pardon,pardons,pardoning,pardoned
predestine,predestines,predestining,predestined
unfurl,unfurls,unfurling,unfurled
single-step,single-steps,single-stepping,single-stepped,single-stepped
protest,protests,protesting,protested
knoll,knolls,knolling,knolled
psycho-analyse,psycho-analyses,psycho-analysing,psycho-analysed,psycho-analysed
Romanize,Romanizes,Romanizing,Romanized,Romanized
rampart,ramparts,ramparting,ramparted
toenail,toenails,toenailing,toenailed
captain,captains,captaining,captained
exenterate,exenterates,exenterating,exenterated
swag,swags,swagging,swagged
calculate,calculates,calculating,calculated
swab,swabs,swabbing,swabbed
disembarrass,disembarrasses,disembarrassing,disembarrassed
swat,swats,swatting,swatted
unroll,unrolls,unrolling,unrolled
swap,swaps,swapping,swopped,swapped
recycle,recycles,recycling,recycled
sway,sways,swaying,swayed
collaborate,collaborates,collaborating,collaborated
rescue,rescues,rescuing,rescued
habituate,habituates,habituating,habituated
void,voids,voiding,voided
untruss,untrusses,untrussing,untrussed
redact,redacts,redacting,redacted
smack,smacks,smacking,smacked
govern,governs,governing,governed
affect,affects,affecting,affected
sleek,sleeks,sleeking,sleeked
embroider,embroiders,embroidering,embroidered
indurate,indurates,indurating,indurated
propend,propends,propending,propended
boohoo,boohoos,boohooing,boohooed
vector,vectors,vectoring,vectored
enhance,enhances,enhancing,enhanced
interfile,interfiles,interfiling,interfiled
rollick,rollicks,rollicking,rollicked
force,forces,forcing,forced
quilt,quilts,quilting,quilted
lustre,lustres,lustring,lustred
colligate,colligates,colligating,colligated
crave,craves,craving,craved
yack,yacks,yacking,yacked
subordinate,subordinates,subordinating,subordinated
kidnap,kidnaps,kidnapping,kidnapped
quill,quills,quilling,quilled
even,evens,evening,evened
coquet,coquets,coquetting,coquetted
wreck,wrecks,wrecking,wrecked
unbrace,unbraces,unbracing,unbraced
blow-wave,blow-waves,blow-waving,blow-waved,blow-waved
siege,sieges,sieging,sieged
haze,hazes,hazing,hazed
sunder,sunders,sundering,sundered
net,nets,netting,netted
battledore,battledores,battledoring,battledored
endanger,endangers,endangering,endangered
mew,mews,mewing,mewed
disoblige,disobliges,disobliging,disobliged
dree,drees,dreeing,dreed
interpret,interprets,interpreting,interpreted
depasture,depastures,depasturing,depastured
taper,tapers,tapering,tapered
buckler,bucklers,bucklering,bucklered
harass,harasses,harassing,harassed
permit,permits,permitting,permitted
pack,packs,packing,packed
intrigue,intrigues,intriguing,intrigued
excoriate,excoriates,excoriating,excoriated
prelect,prelects,prelecting,prelected
hunch,hunches,hunching,hunched
campaign,campaigns,campaigning,campaigned
bayonet,bayonets,bayoneting,bayoneted
dehumanize,dehumanizes,dehumanizing,dehumanized
elude,eludes,eluding,eluded
immix,immixes,immixing,immixed
worrit,worrits,worriting,worrited
overstuff,overstuffs,overstuffing,overstuffed
welch,welches,welching,welched
remould,remoulds,remoulding,remoulded
circumvent,circumvents,circumventing,circumvented
landscape,landscapes,landscaping,landscaped
mooch,mooches,mooching,mooched
overhear,overhears,overhearing,overheard
overheat,overheats,overheating,overheated
embrangle,embrangles,embrangling,embrangled
calk,calks,calking,calked
call,calls,calling,called
calm,calms,calming,calmed
recommend,recommends,recommending,recommended
survive,survives,surviving,survived
type,types,typing,typed
tell,tells,telling,told
calf,calves
expose,exposes,exposing,exposed
moulder,moulders,mouldering,mouldered
warp,warps,warping,warped
lunge,lunges,lunging,lunged
warm,warms,warming,warmed
bewray,bewrays,bewraying,bewrayed
undergird,undergirds,undergirding,undergirded
sparge,sparges,sparging,sparged
ware,wares,waring,wared
blindfold,blindfolds,blindfolding,blindfolded
prescind,prescinds,prescinding,prescinded
hoax,hoaxes,hoaxing,hoaxed
retouch,retouches,retouching,retouched
restock,restocks,restocking,restocked
roof,roofs,roofing,roofed
worth,worths,worthing,worthed
guise,guises,guising,guised
proofread,proof-reads,proof-reading,proofread,proof-read
glac_e,glac_es,glac_eing,glac_eed,glac_eed
endow,endows,endowing,endowed
crosshatch,crosshatches,crosshatching,crosshatched
defer,defers,deferring,deferred
give,gives,giving,gave,given
climax,climaxes,climaxing,climaxed
slenderize,slenderizes,slenderizing,slenderized
assent,assents,assenting,assented
lure,luring,lured
honey,honeys,honeying,honied
degenerate,degenerates,degenerating,degenerated
rig,rigs,rigging,rigged
freshen,freshens,freshening,freshened
loathe,loathes,loathing,loathed
cross-fade,cross-fades,cross-fading,cross-faded,cross-faded
strow,strows,strowing,strowed
sideline,sidelines,sidelining,sidelined
strop,strops,stropping,stropped
fribble,fribbles,fribbling,fribbled
raddle,raddles,raddling,raddled
rib,ribs,ribbing,ribbed
stroy,stroys,stroying,stroyed
salivate,salivates,salivating,salivated
sate,sates,sating,sated
egotrip,egotrips',egotripping,egotripped
answer,answers,answering,answered
bedight,bedights,bedighting,bedighted
construe,construes,construing,construed
disassemble,disassembles,disassembling,disassembled
misfit,misfits,misfitting,misfitted
hydroplane,hydroplanes,hydroplaning,hydroplaned
purchase,purchases,purchasing,purchased
attempt,attempts,attempting,attempted
fecundate,fecundates,fecundating,fecundated
pulsate,pulsates,pulsating,pulsated
oviposit,oviposits,ovipositing,oviposited
thirl,thirls,thirling,thirled
bedazzle,bedazzles,bedazzling,bedazzled
squiggle,squiggles,squiggling,squiggled
embow,embows,embowing,embowed
fife,fifes,fifing,fifed
deck,decks,decking,decked
insnare,insnares,insnaring,insnared
befall,befalls,befalling,befell,befallen
clave,clave
fable,fables,fabling,fabled
toady,toadies,toadying,toadied
miscarry,miscarries,miscarrying,miscarried
outleap,outleaps,outleaping,outleaped
canulate,canulates,canulating,canulated
shackle,shackles,shackling,shackled
crew,crews,crewing,crewed
better,betters,bettering,bettered
persist,persists,persisting,persisted
carve,carves,carving,carved,carven
containerize,containerizes,containerizing,containerized
unsling,unslings,unslinging,unslung
overcome,overcomes,overcoming,overcame,overcome
misstate,misstates,misstating,misstated
demythologize,demythologizes,demythologizing,demythologized
unthink,unthinks,unthinking,unthought
deglutinate,deglutinates,deglutinating,deglutinated
bankroll,bankrolls,bankrolling,bankrolled
indulge,indulges,indulging,indulged
rhapsodize,rhapsodizes,rhapsodizing,rhapsodized
shirk,shirks,shirking,shirked
whisk,whisks,whisking,whisked
wend,wends,wending,wended
exaggerate,exaggerates,exaggerating,exaggerated
mistrust,mistrusts,mistrusting,mistrusted
roast,roasts,roasting,roasted
demount,demounts,demounting,demounted
bong,bongs,bonging,bonged
side,sides,siding,sided
bone,bones,boning,boned
bond,bonds,bonding,bonded
powerdive,powerdives,powerdiving,powerdived
improvise,improvises,improvising,improvised
siwash,siwashes,siwashing,siwashed
vote,votes,voting,voted
combust,combusts,combusting,combusted
besmear,besmears,besmearing,besmeared
extract,extracts,extracting,extracted
inosculate,inosculates,inosculating,inosculated
jell,jells,jelling,jelled
contend,contends,contending,contended
decree,decrees,decreeing,decreed
typecast,typecasts,typecasting,typecast
videotape,videotapes,videotapeing,videotapeed
contraindicate,contraindicates,contraindicating,contraindicated
portend,portends,portending,portended
devitrify,devitrifies,devitrifying,devitrified
content,contents,contenting,contented
sparkle,sparkles,sparkling,sparkled
pitchfork,pitchforks,pitchforking,pitchforked
debit,debits,debiting,debited
surprise,surprises,surprising,surprised
palaver,palavers,palavering,palavered
instigate,instigates,instigating,instigated
overrefine,overrefines,overrefining,overrefined
playact,playacts,playacting,playacted
grease,greases,greasing,greased
totalize,totalizes,totalizing,totalized
resume,resumes,resuming,resumed
revenge,revenges,revenging,revenged
dodder,dodders,doddering,doddered
bestow,bestows,bestowing,bestowed
struggle,struggles,struggling,struggled
abate,abates,abating,abated
overemphasize,overemphasizes,overemphasizing,overemphasized
entrap,entraps,entrapping,entrapped
infix,infixes,infixing,infixed
chortle,chortles,chortling,chortled
lour,lours,louring,loured
lout,louts,louting,louted
scrounge,scrounges,scrounging,scrounged
steward,stewards,stewarding,stewarded
skyjack,skyjacks,skyjacking,skyjacked
fleck,flecks,flecking,flecked
attune,attunes,attuning,attuned
heckle,heckles,heckling,heckled
inbred,inbred
repoint,repoints,repointing,repointed
grade,grades,grading,graded
hoop,hoops,hooping,hooped
superpose,superposes,superposing,superposed
reassure,reassures,reassuring,reassured
hoot,hoots,hooting,hooted
hook,hooks,hooking,hooked
synthetize,synthetizes,synthetizing,synthetized
deplete,depletes,depleting,depleted
enumerate,enumerates,enumerating,enumerated
radiate,radiates,radiating,radiated
ditch,ditches,ditching,ditched
hoof,hoofs,hoofing,hoofed
hood,hoods,hooding,hooded
discompose,discomposes,discomposing,discomposed
debase,debases,debasing,debased
acquaint,acquaints,acquainting,acquainted
scrape,scrapes,scraping,scraped
wreak,wreaks,wreaking,wreaked
sidle,sidles,sidling,sidled
brabble,brabbles,brabbling,brabbled
brainwash,brainwashes,brainwashing,brainwashed
dwell,dwells,dwelling,dwelt
mutate,mutates,mutating,mutated
reprobate,reprobates,reprobating,reprobated
foreclose,forecloses,foreclosing,foreclosed
touchtype,touchtypes,touchtyping,touchtyped
gyp,gyps,gypping,gypped
cuirass,cuirasses,cuirassing,cuirassed
distance,distances,distancing,distanced
affront,affronts,affronting,affronted
dredge,dredges,dredging,dredged
sky-rocket,sky-rockets,sky-rocketing,skyrocketed,sky-rocketed
legalize,legalizes,legalizing,legalized
matter,matters,mattering,mattered
pitapat,pitapats,pitapatting,pitapatted
mammock,mammocks,mammocking,mammocked
espouse,espouses,espousing,espoused
exorcize,exorcizes,exorcizing,exorcized
churr,churrs,churring,churred
quench,quenches,quenching,quenched
mind,minds,minding,minded
mine,mines,mining,mined
ginger,gingers,gingering,gingered
seed,seeds,seeding,seeded
seem,seems,seeming,seemed
churn,churns,churning,churned
mint,mints,minting,minted
unfasten,unfastens,unfastening,unfastened
wabble,wabbles,wabbling,wabbled
reprieve,reprieves,reprieving,reprieved
horde,hordes,hording,horded
alibi,alibis,alibiing,alibied
draggle,draggles,draggling,draggled
divulge,divulges,divulging,divulged
desist,desists,desisting,desisted
ransack,ransacks,ransacking,ransacked
narcotize,narcotizes,narcotizing,narcotized
flense,flenses,flensing,flensed
scarify,scarifies,scarifying,scarified
iterate,iterates,iterating,iterated
subtotal,subtotals,subtotalling,subtotalled
exonerate,exonerates,exonerating,exonerated
blacklist,blacklists,blacklisting,blacklisted
mitigate,mitigates,mitigating,mitigated
euphemize,euphemizes,euphemizing,euphemized
bypass,bypasses',by-passing,bypassed,by-passed
entrain,entrains,entraining,entrained
alarm,alarms,alarming,alarmed
dog,dogs,dogging,dogged
vizor,vizors,vizoring,vizored
digress,digresses,digressing,digressed
constrict,constricts,constricting,constricted
throwaway,throwaways,throwawaying,throwawayed
scotch,scotches,scotching,scotched
dow,dows,dowing,dowed
dot,dots,dotting,dotted
discontent,discontents,discontenting,discontented
hunger,hungers,hungering,hungered
rapture,raptures,rapturing,raptured
spangle,spangles,spangling,spangled
probe,probes,probing,probed
bespread,bespreads,bespreading,bespreaded
chord,chords,chording,chorded
camphorate,camphorates,camphorating,camphorated
subvene,subvenes,subvening,subvened
capitulate,capitulates,capitulating,capitulated
acquit,acquits,acquitting,acquitted
overtask,overtasks,overtasking,overtasked
cleanse,cleanses,cleansing,cleansed
explain,explains,explaining,explained
cripple,cripples,crippling,crippled
sugar,sugars,sugaring,sugared
sickout
mutualize,mutualizes,mutualizing,mutualized
integrate,integrates,integrating,integrated
hoard,hoards,hoarding,hoarded
razor-cut,razor-cuts,razor-cutting,razor-cut,razor-cut
patter,patters,pattering,pattered
stot,stots,stotting,stotted
deforest,deforests,deforesting,deforested
blur,blurs,blurring,blurred
stop,stops,stopping,stopped
perceive,perceives,perceiving,perceived
coast,coasts,coasting,coasted
meditate,meditates,meditating,meditated
subminiaturize,subminiaturizes,subminiaturizing,subminiaturized
comply,complies,complying,complied
bat,bats,batting,batted
bar,bars,barring,barred
braze,brazes,brazing,brazed
bay,bays,baying,bayed
bag,bags,bagging,bagged
troop,troops,trooping,trooped
baa,baas,baaing,baaed
ban,bans,banning,banned
enchant,enchants,enchanting,enchanted
attest,attests,attesting,attested
reference,references,referencing,referenced
imitate,imitates,imitating,imitated
prophesy,prophesies,prophesying,prophesied
allure,allures,alluring,allured
insalivate,insalivates,insalivating,insalivated
decerebrate,decerebrates,decerebrating,decerebrated
subject,subjects,subjecting,subjected
misrule,misrules,misruling,misruled
snuff,snuffs,snuffing,snuffed
hydrolyze,hydrolyzes,hydrolyzing,hydrolyzed
sain,sains,saining,sained
scrap,scraps,scrapping,scrapped
sail,sails,sailing,sailed
disprove,disproves,disproving,disproved
scram,scrams,scramming,scrammed
unriddle,unriddles,unriddling,unriddled
scrag,scrags,scragging,scragged
juxtapose,juxtaposes,juxtaposing,juxtaposed
personate,personates,personating,personated
bemuse,bemuses,bemusing,bemused
craunch,craunches,craunching,craunched
sulphonate,sulphonates,sulphonating,sulphonated
excavate,excavates,excavating,excavated
laze,lazes,lazing,lazed
socialize,socializes,socializing,socialized
short-list,short-lists,short-listing,short-listed,short-listed
botch,botches,botching,botched
synopsize,synopsizes,synopsizing,synopsized
discommode,discommodes,discommoding,discommoded
monopolize,monopolizes,monopolizing,monopolized
estreat,estreats,estreating,estreated
regrate,regrates,regrating,regrated
burthen,burthens,burthening,burthened
eloin,eloins,eloining,eloined
burble,burbles,burbling,burbled
cobble,cobbles,cobbling,cobbled
whisper,whispers,whispering,whispered
foray,forays,foraying,forayed
relumine,relumines,relumining,relumined
accustom,accustoms,accustoming,accustomed
pupate,pupates,pupating,pupated
recur,recurs,recurring,recurred
regenerate,regenerates,regenerating,regenerated
go-slow
erect,erects,erecting,erected
chelp,chelps,chelping,chelped
ting,tings,tinging,tinged
commission,commissions,commissioning,commissioned
trigger,triggers,triggering,triggered
replicate,replicates,replicating,replicated
interest,interests,interesting,interested
chug,chugs,chugging,chugged
wheedle,wheedles,wheedling,wheedled
mushroom,mushrooms,mushrooming,mushroomed
suppress,suppresses,suppressing,suppressed
chum,chums,chumming,chummed
disgruntle,disgruntles,disgruntling,disgruntled
deepen,deepens,deepening,deepened
downplay,downplays,downplaying,downplayed
diffract,diffracts,diffracting,diffracted
intubate,intubates,intubating,intubated
originate,originates,originating,originated
chainsmoke,chainsmokes,chainsmoking,chainsmoked
near,nears,nearing,neared
suppose,supposes,supposing,supposed
convalesce,convalesces,convalescing,convalesced
balance,balances,balancing,balanced
mangle,mangles,mangling,mangled
anchor,anchors,anchoring,anchored
spawn,spawns,spawning,spawned
upgrade,upgrades,upgrading,upgraded
cane,canes,caning,caned
recuperate,recuperates,recuperating,recuperated
womanize,womanizes,womanizing,womanized
remount,remounts,remounting,remounted
jess,jesses,jessing,jessed
canter,cants,canting,canted
lyophilize,lyophilizes,lyophilizing,lyophilized
jest,jests,jesting,jested
mouse,mouses,mousing,moused
disappear,disappears,disappearing,disappeared
abscess,abscesses,abscessing,abscessed
growl,growls,growling,growled
reimport,reimports,reimporting,reimported
make,makes,making,made
costar,costars,costarring,costarred
quant,quants,quanting,quanted
belly,bellies,bellying,bellied
contaminate,contaminates,contaminating,contaminated
sodden,soddens,soddening,soddened
surprint,surprints,surprinting,surprinted
evolve,evolves,evolving,evolved
exire
smoke,smokes,smoking,smoked
kip,kips,kipping,kipped
delight,delights,delighting,delighted
consternate,consternates,consternating,consternated
misconstrue,misconstrues,misconstruing,misconstrued
ruff,ruffs,ruffing,ruffed
kid,kids,kidding,kidded
butter,butters,buttering,buttered
reest,reests,reesting,reested
romp,romps,romping,romped
whicker,whickers,whickering,whickered
strangulate,strangulates,strangulating,strangulated
inherit,inherits,inheriting,inherited
berate,berates,berating,berated
left,left
sentence,sentences,sentencing,sentenced
plash,plashes,plashing,plashed
alliterate,alliterates,alliterating,alliterated
presume,presumes,presuming,presumed
identify,identifies,identifying,identified
achromatize,achromatizes,achromatizing,achromatized
secure,secures,securing,secured
outbalance,outbalances,outbalancing,outbalanced
nudge,nudges,nudging,nudged
fourflush,fourflushes,fourflushing,fourflushed
shortcircuit,shortcircuits,shortcircuiting,shortcircuited
character,characters,charactering,charactered
defray,defrays,defraying,defrayed
save,saves,saving,saved
dehisce,dehisces,dehiscing,dehisced
designate,designates,designating,designated
opt,opts,opting,opted
ope,opes,oping,oped
commentate,commentates,commentating,commentated
legitimize,legitimizes,legitimizing,legitimized
implead,impleads,impleading,impleaded
illtreat,illtreats,illtreating,illtreated
chlorinate,chlorinates,chlorinating,chlorinated
jugulate,jugulates,jugulating,jugulated
radioactivate,radioactivates,radioactivating,radioactivated
signal,signals,signalling,signalled
squander,squanders,squandering,squandered
deal,deals,dealing,dealt
repudiate,repudiates,repudiating,repudiated
revet,revets,revetting,revetted
revel,revels,revelling,revelled
intern,interns,interning,interned
arterialize,arterializes,arterializing,arterialized
invoice,invoices,invoicing,invoiced
sprawl,sprawls,sprawling,sprawled
deice,deices,deicing,deiced
collect,collects,collecting,collected
defilade,defilades,defilading,defiladed
superfuse,superfuses,superfusing,superfused
flounder,flounders,floundering,floundered
drudge,drudges,drudging,drudged
beget,begets,begetting,begotten
egest,egests,egesting,egested
bamboozle,bamboozles,bamboozling,bamboozled
burl,burls,burling,burled
protuberate,protuberates,protuberating,protuberated
burn,burns,burning,burnt
blackmail,blackmails,blackmailing,blackmailed
sift,sifts,sifting,sifted
etiolate,etiolates,etiolating,etiolated
burp,burps,burping,burped
burr,burrs
bury,buries,burying,buried
conceal,conceals,concealing,concealed
palisade,palisades,palisading,palisaded
stow,stows,stowing,stowed
commix,commixes,commixing,commixed
commit,commits,committing,committed
clapboard,clapboards,clapboarding,clapboarded
marshal,marshals,marshalling,marshalled
unsay,unsays,unsaying,unsaid
gestate,gestates,gestating,gestated
nerve,nerves,nerving,nerved
motivate,motivates,motivating,motivated
stone-wall,stone-walls,stonewalling,stonewalled,stone-walled
Frenchify,Frenchifies,Frenchifying,Frenchified,Frenchified
down,downs,downing,downed
slurp,slurps,slurping,slurped
translocate,translocates,translocating,translocated
chime,chimes,chiming,chimed
unseal,unseals,unsealing,unsealed
unseam,unseams,unseaming,unseamed
chitter,chitters,chittering,chittered
initial,initials,initialling,initialled
subdivide,subdivides,subdividing,subdivided
chelate,chelates,chelating,chelated
misbecome,misbecomes,misbecoming,misbecame
lampoon,lampoons,lampooning,lampooned
deputize,deputizes,deputizing,deputized
unseat,unseats,unseating,unseated
stalk,stalks,stalking,stalked
smoodge,smoodges,smoodging,smoodged
fork,forks,forking,forked
starve,starves,starving,starved
form,forms,forming,formed
analyze,analyzes,analyzing,analyzed
forest,foring,fored
ford,fords,fording,forded
diaper,diapers,diapering,diapered
turpentine,turpentines,turpentining,turpentined
polevault,polevaults,polevaulting,polevaulted
overburden,overburdens,overburdening,overburdened
surrender,surrenders,surrendering,surrendered
pavilion,pavilions,pavilioning,pavilioned
empt,empts,empting,empted
ingraft,ingrafts,ingrafting,ingrafted
boomerang,boomerangs,boomeranging,boomeranged
aircool,aircools,aircooling,aircooled
delete,deletes,deleting,deleted
diagnose,diagnoses,diagnosing,diagnosed
forespeak,forespeaks,forespeaking,forespoken
shin,shins,shinning,shinned
shim,shims,shimming,shimmed
bureaucratize,bureaucratizes,bureaucratizing,bureaucratized
sidestep,sidesteps,sidestepping,sidestepped
sticky,stickies,stickying,stickied
scrawl,scrawls,scrawling,scrawled
revitalize,revitalizes,revitalizing,revitalized
vivify,vivifies,vivifying,vivified
ship,ships,shipping,shipped
swill,swills,swilling,swilled
addle,addles,addling,addled
shit,shits,shitting,shit
graft,grafts,grafting,grafted
discriminate,discriminates,discriminating,discriminated
disaccord,disaccords,disaccording,disaccorded
excel,excels,excelling,excelled
maledict,maledicts,maledicting,maledicted
congeal,congeals,congealing,congealed
warehouse,warehouses,warehousing,warehoused
interlard,interlards,interlarding,interlarded
garland,garlands,garlanding,garlanded
handicap,handicaps,handicapping,handicapped
bilge,bilges,bilging,bilged
slink,slinks,slinking,slunk
diet,diets,dieting,dieted
infatuate,infatuates,infatuating,infatuated
journey,journeys,journeying,journeyed
reign,reigns,reigning,reigned
skinpop,skinpops,skinpopping,skinpopped
weekend,weekends,weekending,weekended
endamage,endamages,endamaging,endamaged
derail,derails,derailing,derailed
assume,assumes,assuming,assumed
jacket,jackets,jacketing,jacketed
reroute,reroutes,rerouting,rerouted
meander,meanders,meandering,meandered
decelerate,decelerates,decelerating,decelerated
camber,cambers,cambering,cambered
befriend,befriends,befriending,befriended
revoke,revokes,revoking,revoked
fletch,fletches,fletching,fletched
skip,skips,skipping,skipped
relieve,relieves,relieving,relieved
peruse,peruses,perusing,perused
invent,invents,inventing,invented
doubletongue,doubletongues,doubletonguing,doubletongued
redouble,redoubles,redoubling,redoubled
skin,skins,skinning,skinned
spruik,spruiks,spruiking,spruiked
interdigitate,interdigitates,interdigitating,interdigitated
smock,smocks,smocking,smocked
milk,milks,milking,milked
skeletonize,skeletonizes,skeletonizing,skeletonized
sidetrack,sidetracks,side-tracking,sidetracked,side-tracked
misread,misreads,misreading,misread
depend,depends,depending,depended
summersault,summersaulting,summersaulted
tariff,tariffs,tariffing,tariffed
swoon,swoons,swooning,swooned
father,fathers,fathering,fathered
pressgang,pressgangs,pressganging,pressganged
amaze,amazes,amazing,amazed
swoop,swoops,swooping,swooped
quintuplicate,quintuplicates,quintuplicating,quintuplicated
unburden,unburdens,unburdening,unburdened
encircle,encircles,encircling,encircled
keck,kecks,kecking,kecked
string,strings,stringing,strung
shoogle,shoogles,shoogling,shoogled
bullyrag,bullyrags,bullyragging,bullyragged
nationalize,nationalizes,nationalizing,nationalized
Europeanize,Europeanizes,Europeanizing,Europeanized,Europeanized
lynch,lynches,lynching,lynched
jettison,jettisons,jettisoning,jettisoned
materialize,materializes,materializing,materialized
dim,dims,dimming,dimmed
din,dins,dinning,dinned
die,dies,dying,died
economize,economizes,economizing,economized
dig,digs,digging,dug
dib,dibs,dibbing,dibbed
hooray,hoorays,hooraying,hoorayed
item,items,iteming,itemed
grimace,grimaces,grimacing,grimaced
dip,dips,dipping,dipped
round,rounds,rounding,rounded
shave,shaves,shaving,shaved,shaven
overhaul,overhauls,overhauling,overhauled
slake,slakes,slaking,slaked
trisect,trisects,trisecting,trisected
twaddle,twaddles,twaddling,twaddled
unbar,unbars,unbarring,unbarred
favour,favours,favouring,favoured
fillet,fillets,filleting,filleted
reunite,reunites,reuniting,reunited
suspect,suspects,suspecting,suspected
divinize,divinizes,divinizing,divinized
extemporize,extemporizes,extemporizing,extemporized
dwarf,dwarfs,dwarfing,dwarfed
etherealize,etherealizes,etherealizing,etherealized
clerk,clerks,clerking,clerked
briquette,briquettes,briquetting,briquetted
overwinter,overwinters,overwintering,overwintered
detest,detests,detesting,detested
decipher,deciphers,deciphering,deciphered
oversimplify,oversimplifies,oversimplifying,oversimplified
wait,waits,waiting,waited
box,boxes,boxing,boxed
cuckoo,cuckoos,cuckooing,cuckooed
bop,bops,bopping,bopped
shift,shifts,shifting,shifted
bot
bow,bows,bowing,bowed
dither,dithers,dithering,dithered
boo,boos,booing,booed
bob,bobs,bobbing,bobbed
conglobate,conglobates,conglobating,conglobated
massage,massages,massaging,massaged
demodulate,demodulates,demodulating,demodulated
treasure,treasures,treasuring,treasured
elect,elects,electing,elected
stet,stets,stetting,stetted
sightread,sightreads,sightreading,sightread
supinate,supinates,supinating,supinated
quibble,quibbles,quibbling,quibbled
verge,verges,verging,verged
surmount,surmounts,surmounting,surmounted
tabu,tabus,tabuing,tabued
transplant,transplants,transplanting,transplanted
anthropomorphize,anthropomorphizes,anthropomorphizing,anthropomorphized
telpher,telphers,telphering,telphered
cocknify,cocknifies,cocknifying,cocknified
